run,tag,transitions,millions,value,wall_time_unix
fixed,loss/policy,12288,0.012288,-4.845547300647013e-05,1790232461.8046582
fixed,loss/policy,1228800,1.2288,0.004164338577538729,1790232561.9581213
fixed,loss/policy,2457600,2.4576,0.004103813786059618,1790232664.2569134
fixed,loss/policy,3686400,3.6864,0.0038488341961055994,1790232767.6874092
fixed,loss/policy,4915200,4.9152,0.006134436000138521,1790232872.5094175
fixed,loss/policy,6144000,6.144,0.005122012924402952,1790232972.4212806
fixed,loss/policy,7372800,7.3728,0.005098570603877306,1790233072.2088587
fixed,loss/policy,8601600,8.6016,0.003121995134279132,1790233169.3468423
fixed,loss/policy,9830400,9.8304,0.0034774579107761383,1790233270.1701748
fixed,loss/policy,11059200,11.0592,0.0038098199293017387,1790233371.0183303
fixed,loss/policy,12288000,12.288,0.0038462080992758274,1790233471.7196887
fixed,loss/policy,13516800,13.5168,0.003686425741761923,1790233570.6589367
fixed,loss/policy,14745600,14.7456,0.0024422728456556797,1790233673.056625
fixed,loss/policy,15974400,15.9744,0.0026699076406657696,1790233775.06708
fixed,loss/policy,17203200,17.2032,0.004443485289812088,1790233876.4419298
fixed,loss/policy,18432000,18.432,0.0031446157954633236,1790233976.8957844
fixed,loss/policy,19660800,19.6608,0.004048651549965143,1790234074.1928363
fixed,loss/policy,20889600,20.8896,0.003727006958797574,1790234174.8638601
fixed,loss/value,12288,0.012288,0.3945004940032959,1790232461.8047917
fixed,loss/value,1228800,1.2288,0.055889666080474854,1790232561.9582517
fixed,loss/value,2457600,2.4576,0.06290736794471741,1790232664.257043
fixed,loss/value,3686400,3.6864,0.060723282396793365,1790232767.687542
fixed,loss/value,4915200,4.9152,0.04355042427778244,1790232872.5095634
fixed,loss/value,6144000,6.144,0.03711400926113129,1790232972.4214284
fixed,loss/value,7372800,7.3728,0.03154009208083153,1790233072.208989
fixed,loss/value,8601600,8.6016,0.02688618190586567,1790233169.3469684
fixed,loss/value,9830400,9.8304,0.025403838604688644,1790233270.170305
fixed,loss/value,11059200,11.0592,0.023204727098345757,1790233371.0184581
fixed,loss/value,12288000,12.288,0.023779883980751038,1790233471.7198162
fixed,loss/value,13516800,13.5168,0.021675974130630493,1790233570.6590638
fixed,loss/value,14745600,14.7456,0.020486226305365562,1790233673.056751
fixed,loss/value,15974400,15.9744,0.019103718921542168,1790233775.0672092
fixed,loss/value,17203200,17.2032,0.018075700849294662,1790233876.4420624
fixed,loss/value,18432000,18.432,0.019056111574172974,1790233976.8959372
fixed,loss/value,19660800,19.6608,0.01857566460967064,1790234074.1929636
fixed,loss/value,20889600,20.8896,0.018833093345165253,1790234174.863986
fixed,penalty/action_rate,12288,0.012288,0.00042448367457836866,1790232461.8137496
fixed,penalty/action_rate,1228800,1.2288,0.0004381712060421705,1790232561.9684353
fixed,penalty/action_rate,2457600,2.4576,0.000443619501311332,1790232664.2660823
fixed,penalty/action_rate,3686400,3.6864,0.00044850981794297695,1790232767.6975667
fixed,penalty/action_rate,4915200,4.9152,0.0004516631888691336,1790232872.5189676
fixed,penalty/action_rate,6144000,6.144,0.00045498390682041645,1790232972.4306
fixed,penalty/action_rate,7372800,7.3728,0.00045839478843845427,1790233072.2179966
fixed,penalty/action_rate,8601600,8.6016,0.00046125968219712377,1790233169.3563983
fixed,penalty/action_rate,9830400,9.8304,0.00046450557420030236,1790233270.180058
fixed,penalty/action_rate,11059200,11.0592,0.0004667604516725987,1790233371.0273936
fixed,penalty/action_rate,12288000,12.288,0.00046787556493654847,1790233471.729641
fixed,penalty/action_rate,13516800,13.5168,0.00046954830759204924,1790233570.6728435
fixed,penalty/action_rate,14745600,14.7456,0.0004713736707344651,1790233673.0655105
fixed,penalty/action_rate,15974400,15.9744,0.00047209145850501955,1790233775.0759869
fixed,penalty/action_rate,17203200,17.2032,0.0004732181259896606,1790233876.4516268
fixed,penalty/action_rate,18432000,18.432,0.0004739240393973887,1790233976.9075541
fixed,penalty/action_rate,19660800,19.6608,0.0004750257940031588,1790234074.2026713
